custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,8/24/2015 0:00,Male,55,Black,19144
,,,,,
PDP,10/16/2015 0:00,Male,59,White,19124
,,,,,
PDP,3/3/2015 0:00,Female,63,Black,19132
,,,,,
State,8/29/2015 0:00,Male,62,Black,19153
,,,,,
State,8/4/2015 0:00,Male,63,Black,19124
,,,,,
PDP,1/28/2015 0:00,Male,61,Black,
,,,,,
State,1/20/2015 0:00,Male,61,White,19129
,,,,,
PDP,8/7/2015 0:00,Male,58,Black,19100
,,,,,
State,11/9/2015 0:00,Male,65,Black,19140
,,,,,
State,9/28/2015 0:00,Male,61,Black,19134
,,,,,
PDP,1/7/2015 0:00,Male,63,Black,
,,,,,
PDP,5/6/2015 0:00,,63,Other,
,,,,,
State,1/25/2015 0:00,Male,61,Black,19141
,,,,,
PDP,6/2/2015 0:00,Male,60,Black,19133
,,,,,
PDP,3/17/2015 0:00,Male,62,Black,19131
,,,,,
PDP,2/12/2015 0:00,Male,61,Black,
,,,,,
PDP,7/16/2015 0:00,Male,63,White,19151
,,,,,
PDP,12/22/2015 0:00,Male,63,Black,19146
,,,,,
PDP,3/16/2015 0:00,Male,61,Black,19141
,,,,,
PDP,6/17/2015 0:00,Male,61,Black,19144
,,,,,
PDP,5/5/2015 0:00,Male,60,Black,
,,,,,
PDP,3/9/2015 0:00,Male,61,White,19115
,,,,,
PDP,3/2/2015 0:00,Male,62,Black,19127
,,,,,
PDP,3/16/2015 0:00,Male,61,Black,19144
,,,,,
PDP,8/6/2015 0:00,Male,69,Black,19121
,,,,,
PDP,7/20/2015 0:00,Male,66,Black,19129
,,,,,
PDP,9/9/2015 0:00,Female,63,Black,
,,,,,
PDP,3/25/2015 0:00,Male,67,Black,19104
,,,,,
PDP,10/9/2015 0:00,Male,60,Black,19133
,,,,,
PDP,12/10/2015 0:00,Male,61,Black,19142
,,,,,
PDP,9/22/2015 0:00,Male,62,White,19115
,,,,,
State,9/8/2015 0:00,Male,62,Black,19123
,,,,,
PDP,4/21/2015 0:00,Male,61,Black,19140
,,,,,
PDP,1/7/2015 0:00,Male,69,Black,19131
,,,,,
PDP,3/16/2015 0:00,Male,61,Black,19121
,,,,,
State,8/17/2015 0:00,Male,60,Black,19121
,,,,,
PDP,1/20/2015 0:00,Male,60,White,
,,,,,
State,11/9/2015 0:00,Male,61,Black,19116
,,,,,
PDP,11/23/2015 0:00,Male,61,White,19134
,,,,,
PDP,10/7/2015 0:00,Male,61,Black,19122
,,,,,
PDP,6/26/2015 0:00,Male,51,Black,19143
,,,,,
State,9/7/2015 0:00,Male,61,Black,19143
,,,,,
PDP,11/17/2015 0:00,Male,62,Black,19143
,,,,,
State,12/16/2015 0:00,Male,63,Black,19122
,,,,,
State,6/30/2015 0:00,Male,61,Black,19138
,,,,,
State,8/26/2015 0:00,Male,63,Black,19140
,,,,,
State,2/5/2015 0:00,Male,60,White,19111
,,,,,
State,3/30/2015 0:00,Female,63,Black,19129
,,,,,
PDP,3/2/2015 0:00,Male,60,Black,19132
,,,,,
PDP,8/21/2015 0:00,Male,62,White,
,,,,,
PDP,6/25/2015 0:00,Male,61,Black,19101
,,,,,
PDP,1/12/2015 0:00,Male,60,Black,19123
,,,,,
PDP,8/14/2015 0:00,Male,61,Black,19122
,,,,,
PDP,3/24/2015 0:00,Male,59,Black,19144
,,,,,
State,1/11/2015 0:00,Male,60,Black,19146
,,,,,
State,4/20/2015 0:00,Male,60,Black,19129
,,,,,
State,5/11/2015 0:00,Male,61,White,19116
,,,,,
PDP,5/14/2015 0:00,Male,62,Black,
,,,,,
PDP,8/3/2015 0:00,Male,61,White,19116
,,,,,
PDP,8/12/2015 0:00,Male,60,White,19148
,,,,,
State,2/8/2015 0:00,Male,58,Black,19139
,,,,,
PDP,8/11/2015 0:00,Male,60,Black,19131
,,,,,
State,5/11/2015 0:00,Male,58,Black,19116
,,,,,
PDP,1/13/2015 0:00,Male,60,Black,
,,,,,
State,3/30/2015 0:00,Male,60,Black,19116
,,,,,
PDP,6/24/2015 0:00,Male,63,Black,19152
,,,,,
PDP,3/22/2015 0:00,Male,64,Hispanic,19133
,,,,,
PDP,3/4/2015 0:00,Male,61,Black,19146
,,,,,
PDP,8/3/2015 0:00,Male,59,Black,
,,,,,
